"Pregunta","Dificultad","Discriminación"
"EAES302114",-0.932394656928803,0.729843281444828
"EAES301872",-0.22863163218643,0.729843281444828
"EAES301854",0.0169641599467177,0.729843281444828
"EAES302118",0.509561533784269,0.729843281444828
"EAES301844",0.509585292884063,0.729843281444828
"EAES301744",0.827275705169713,0.729843281444828
"EAES302148",0.827321019087981,0.729843281444828
"EAES302108",0.827321019087981,0.729843281444828
"EAES302044",0.827327283315978,0.729843281444828
"EAES301732",1.09269804590938,0.729843281444828
"EAES302117",1.09272261190311,0.729843281444828
"EAES301728",1.7560645212405,0.729843281444828
"EAES301896",1.92305061209268,0.729843281444828
"EAES302047",1.92307086199739,0.729843281444828
"EAES302104",2.10010465750518,0.729843281444828
"EAES301902",2.1935822520618,0.729843281444828
"EAES302054",2.19373540706597,0.729843281444828
"EAES302111",2.60803267316992,0.729843281444828
"EAES302065",3.2727947589241,0.729843281444828
"EAES302107",-1.2503076727336,0.975009523578162
"EAES301843",0.145741066565304,0.975009523578162
"EAES302116",0.313389811887417,0.975009523578162
"EAES301897",0.482332323153347,0.975009523578162
"EAES302103",0.53926878489847,0.975009523578162
"EAES301727",0.654463134572659,0.975009523578162
"EAES302053",0.654531251352873,0.975009523578162
"EAES302113",0.831673207838425,0.975009523578162
"EAES302110",0.831807029703558,0.975009523578162
"EAES301853",0.892382402976149,0.975009523578162
"EAES301743",1.01621784672712,0.975009523578162
"EAES302043",1.01622854350751,0.975009523578162
"EAES302046",1.2105511143878,0.975009523578162
"EAES302147",1.27812159633206,0.975009523578162
"EAES302064",2.09047949239562,0.975009523578162
"EAES302106",-2.41174259588936,0.804913464902713
"EAES301842",-1.22980128936944,0.804913464902713
"EAES302063",-1.08394716855681,0.804913464902713
"EAES302085",-0.569741494578238,0.804913464902713
"EAES302146",-0.203167251702367,0.804913464902713
"EAES302042",0.00724275258420034,0.804913464902713
"EAES301852",0.278874314299914,0.804913464902713
"EAES301742",0.316172332418903,0.804913464902713
"EAES301726",0.415833472215093,0.804913464902713
"EAES302115",0.491145863476783,0.804913464902713
"EAES301895",0.529182304001433,0.804913464902713
"EAES302052",0.851993791922722,0.804913464902713
"EAES302045",1.02719464957682,0.804913464902713
"EAES302109",1.25291659502956,0.804913464902713
"EAES302102",2.6392685736683,0.804913464902713
"EAES302101",-1.89357744512317,0.841575469248661
"EAES301851",-1.43936073182057,0.841575469248661
"EAES302105",-1.15717740111432,0.841575469248661
"EAES302078",-0.468066913444111,0.841575469248661
"EAES302145",-0.277423412810306,0.841575469248661
"EAES302084",-0.223521023427205,0.841575469248661
"EAES301893",-0.143241150235061,0.841575469248661
"EAES302051",0.136449568561932,0.841575469248661
"EAES302062",0.389014684513445,0.841575469248661
"EAES301725",0.815842872654588,0.841575469248661
"EAES302061",1.26266020273774,0.841575469248661
"EAES301818",1.35905480399996,0.841575469248661
"EAES301741",1.39148565197948,0.841575469248661
"EAES301841",1.49218756029791,0.841575469248661
"EAES302041",1.79783637975164,0.841575469248661
"EAES302098",-1.03897655944067,0.902226927156351
"EAES301817",-0.997878220837394,0.902226927156351
"EAES302050",-0.606313694039431,0.902226927156351
"EAES302083",-0.569061523021464,0.902226927156351
"EAES302093",-0.544346652971297,0.902226927156351
"EAES301832",0.0882383603284512,0.902226927156351
"EAES302060",0.123407957616908,0.902226927156351
"EAES301724",0.323569814154785,0.902226927156351
"EAES301850",0.347145268616782,0.902226927156351
"EAES301840",0.359067183579331,0.902226927156351
"EAES301880",0.370759627458559,0.902226927156351
"EAES301754",0.538133414424197,0.902226927156351
"EAES301740",0.898452941289405,0.902226927156351
"EAES302077",1.12366213647462,0.902226927156351
"EAES302100",3.15782730806609,0.902226927156351
"EAES302092",-1.02472791747379,1.18770255005679
"EAES301839",-0.202397366772438,1.18770255005679
"EAES302076",-0.158403305477525,1.18770255005679
"EAES302082",0.145713123237849,1.18770255005679
"EAES301879",0.318783596989501,1.18770255005679
"EAES302097",0.450093120163303,1.18770255005679
"EAES301739",0.450125268514617,1.18770255005679
"EAES301753",0.583647082544486,1.18770255005679
"EAES301849",0.720463359751245,1.18770255005679
"EAES302059",0.910315087735603,1.18770255005679
"EAES302049",1.0095571511843,1.18770255005679
"EAES301723",1.0095664572001,1.18770255005679
"EAES301816",1.0095664572001,1.18770255005679
"EAES302099",1.33226997042139,1.18770255005679
"EAES301830",2.90491781657202,1.18770255005679
"EAES301752",-3.1764281096401,0.77240410754907
"EAES302075",-0.762871314594517,0.77240410754907
"EAES302040",-0.644153938889792,0.77240410754907
"EAES301878",-0.469746868609828,0.77240410754907
