"Pregunta","Dificultad","Discriminación"
"EAES301541",-0.38816951076904,0.551812678680943
"EAES301529",0.23442596584419,0.551812678680943
"EAES301553",0.234586859308481,0.551812678680943
"EAES301565",0.234650453680686,0.551812678680943
"EAES302144",0.707133092158149,0.551812678680943
"EAES301509",1.28619772923273,0.551812678680943
"EAES302143",1.3717156097656,0.551812678680943
"EAES301460",1.63917960392666,0.551812678680943
"EAES302138",1.82746631777477,0.551812678680943
"EAES301462",1.82785870132997,0.551812678680943
"EAES302151",2.22449581074597,0.551812678680943
"EAES301476",2.55447146468171,0.551812678680943
"EAES301489",2.67008829729862,0.551812678680943
"EAES301488",3.81293619939302,0.551812678680943
"EAES301490",-0.214977945850934,0.443287053003332
"EAES302150",0.867990187580218,0.443287053003332
"EAES301477",1.20513857601652,0.443287053003332
"EAES301542",1.20554989375581,0.443287053003332
"EAES301461",2.04760331053704,0.443287053003332
"EAES301554",2.72921669188657,0.443287053003332
"EAES302142",2.87765318439161,0.443287053003332
"EAES301511",3.03135242488632,0.443287053003332
"EAES301566",3.53020451102314,0.443287053003332
"EAES301530",5.37312014734449,0.443287053003332
"EAES301555",0.568666241932941,0.48947533729371
"EAES301513",0.859039378003319,0.48947533729371
"EAES301531",1.6359027965026,0.48947533729371
"EAES302149",1.87810211956248,0.48947533729371
"EAES301543",1.94600806086157,0.48947533729371
"EAES301492",1.96884323983989,0.48947533729371
"EAES301567",2.99111933227171,0.48947533729371
"EAES301463",3.32649969394073,0.48947533729371
"EAES301478",3.35867582423456,0.48947533729371
"EAES302140",3.88452153216458,0.48947533729371
"EAES301945",0.698155699145069,0.369079655496781
"EAES301515",0.976558967938663,0.369079655496781
"EAES301948",1.25969635870811,0.369079655496781
"EAES301532",2.06092852759067,0.369079655496781
"EAES301544",2.31291539839285,0.369079655496781
"EAES301493",2.74236963088704,0.369079655496781
"EAES301556",2.88045590822398,0.369079655496781
"EAES301465",3.02179588962317,0.369079655496781
"EAES301568",3.46855712303131,0.369079655496781
"EAES301479",3.78931187487229,0.369079655496781
"EAES301495",0.101703456668106,0.622919488656947
"EAES301557",0.598796673045934,0.622919488656947
"EAES301944",0.880081421660661,0.622919488656947
"EAES301467",0.930756773040677,0.622919488656947
"EAES301545",0.947742380403681,0.622919488656947
"EAES301569",1.13730026995804,0.622919488656947
"EAES301480",1.87241217051813,0.622919488656947
"EAES301517",1.95577704804228,0.622919488656947
"EAES301946",2.21851027826098,0.622919488656947
"EAES301533",2.5554347944948,0.622919488656947
"EAES301497",1.89504059014724,0.490176559054287
"EAES301519",2.00036037563363,0.490176559054287
"EAES301469",2.10788977177962,0.490176559054287
"EAES301943",2.10789055086263,0.490176559054287
"EAES301481",2.44593695815927,0.490176559054287
"EAES301546",2.56463748689544,0.490176559054287
"EAES301534",3.21918589276763,0.490176559054287
"EAES301863",3.51915270564629,0.490176559054287
"EAES301558",4.22215780086475,0.490176559054287
"EAES301570",6.20222554314287,0.490176559054287
"EAES301535",-0.0412763327401486,0.493443773044997
"EAES301499",0.639998688289908,0.493443773044997
"EAES301559",0.702897605526117,0.493443773044997
