Barrios,Parroquias,Shape_Leng,Cod,Shape_Le_1,Shape_Area,Point_Coun,SUM_Fiebre,SUM_Tos,SUM_Fatiga,SUM_olfato,SUM_gusto,SUM_Flema,SUM_Difres,SUM_Dolcab,SUM_Dolgar,SUM_Vomito,SUM_Conges,SUM_Diarre
Los Ceibos,Tarqui,13022.1163593,"62",13022.1163593,3544499.90277,"29",3,7,9,3,3,3,2,8,7,0,6,4
Via a la Costa,Tarqui,36380.2025229,"63",36380.2025229,26393519.3503,"31",5,4,5,3,3,4,2,5,4,1,4,4
Chongon y Pto. Hondo,,24675.9375196,"64",24675.9375196,12475928.9923,"4",2,2,1,2,2,1,1,0,1,0,1,3
ESPOL,,12223.1434902,"65",12223.1434902,7114748.23185,"4",3,1,3,2,3,0,2,3,3,0,3,3
Quinto Guayas,Tarqui,16391.4831679,"66",16391.4831679,8638493.69305,"4",0,2,2,1,1,2,0,2,1,0,1,1
Bastión Popular,Tarqui,14072.4294737,"67",14072.4294737,5246832.47603,"6",2,2,2,3,3,1,0,3,2,0,2,1
Monte Bello,Tarqui,10117.6152333,"68",10117.6152333,4962105.06283,"2",2,1,2,2,2,1,1,0,1,1,0,2
Metropolis,Tarqui,9167.60007128,"69",9167.60007128,3388656.4516,"25",6,1,7,4,2,3,1,8,8,0,6,4
Pascuales,Pascuales,12931.0090066,"70",12931.0090066,4695580.58685,"3",0,0,0,0,0,0,0,0,0,0,0,0
El Fortin,Tarqui,5487.63965046,"71",5487.63965046,1903307.29781,"0",0,0,0,0,0,0,0,0,0,0,0,0
Paraiso de La Flor,,4589.39558086,"72",4589.39558086,1225723.92926,"2",1,2,2,2,2,0,1,2,2,1,1,1
Programa de Vivienda Municipio Club Rotario,,4217.14268585,"73",4217.14268585,1017873.79769,"0",0,0,0,0,0,0,0,0,0,0,0,0
Galavsa,,3804.61291146,"74",3804.61291146,810826.175156,"0",0,0,0,0,0,0,0,0,0,0,0,0
Lotizacion Industrial Pascuales,,4760.05920061,"75",4760.05920061,1417043.17174,"0",0,0,0,0,0,0,0,0,0,0,0,0
Socio Vivienda,,6776.53409074,"76",6776.53409074,915102.293741,"0",0,0,0,0,0,0,0,0,0,0,0,0
Inmaconsa,,15397.4445503,"77",15397.4445503,5458032.59664,"2",0,0,0,0,0,0,0,0,0,0,0,0
El Fortin,Tarqui,7806.31183325,"78",7806.31183325,3200420.47569,"1",1,1,0,1,1,0,0,1,0,0,0,0
San Felipe,Tarqui,4802.81382557,"79",4802.81382557,986989.579116,"12",3,3,4,2,1,2,1,6,2,0,3,2
La Prosperina,Tarqui,7671.81503465,"80",7671.81503465,2612988.10088,"7",1,1,1,0,0,1,1,2,2,0,1,1
Lomas de Prosperina,Tarqui,3108.84367509,"81",3108.84367509,562618.763533,"0",0,0,0,0,0,0,0,0,0,0,0,0
La Florida,Tarqui,11941.31909,"82",11941.31909,5842691.68682,"11",3,3,4,3,2,2,1,2,4,0,1,2
Balerio Estacio,,18836.3325192,"83",18836.3325192,12232535.5564,"1",0,0,0,0,0,0,0,0,0,0,0,0
Flor de Bastion,,14286.4340673,"84",14286.4340673,6506386.53011,"2",1,0,1,1,1,0,0,0,0,0,1,0
Expansion Monte Sinai,,31038.0263272,"85",31038.0263272,14109903.8844,"0",0,0,0,0,0,0,0,0,0,0,0,0
Via Daule,,31655.1084615,"86",31653.6105933,22360343.9321,"2",0,0,0,0,0,0,0,0,0,0,0,0
Aurora-Las Lojas,,50824.9892497,"87",50824.1262959,90578255.2484,"69",10,10,14,11,10,10,4,13,14,1,11,8
Samborondon_C1,,58837.0896599,"88",58836.2421733,48962548.3856,"36",7,5,10,5,6,5,2,10,10,0,5,5
Via Salitre,,12197.5783365,"89",12197.5783365,5269332.43727,"3",0,0,0,0,0,0,0,0,0,0,0,0
Fertisa,GUAYAQUIL,19181.5205369,"90",19181.5205369,7009620.66765,"14",5,5,6,7,7,4,3,6,2,0,5,4
