"Pregunta","Dificultad","Discriminación"
"EAES302329",-0.266446108207189,6.3468164382665
"EAES302247",-0.106617044710967,6.3468164382665
"EAES301778",-0.0848254397287117,6.3468164382665
"EAES302314",-0.0429554861296153,6.3468164382665
"EAES302266",-0.0124125587680992,6.3468164382665
"EAES302296",0.0593578500527081,6.3468164382665
"EAES302127",0.0699875425289545,6.3468164382665
"EAES302324",0.0700031171061953,6.3468164382665
"EAES302323",0.0917460889823152,6.3468164382665
"EAES302300",0.150822485464387,6.3468164382665
"EAES302278",0.177315920618292,6.3468164382665
"EAES302286",0.191424355977513,6.3468164382665
"EAES302254",0.206285134295238,6.3468164382665
"EAES302310",0.297062141960396,6.3468164382665
"EAES302307",0.320498123151562,6.3468164382665
"EAES301766",0.412947227218713,6.3468164382665
"EAES302309",-0.258447219563126,3.44847727332482
"EAES302128",-0.132099671042387,3.44847727332482
"EAES302253",-0.0320501572832084,3.44847727332482
"EAES302322",0.0965794592673001,3.44847727332482
"EAES302313",0.150784688280163,3.44847727332482
"EAES302277",0.178810436535917,3.44847727332482
"EAES302246",0.207589311906367,3.44847727332482
"EAES302295",0.299741245621222,3.44847727332482
"EAES301765",0.332917551730968,3.44847727332482
"EAES302265",0.404170426646204,3.44847727332482
"EAES302285",0.404170736591132,3.44847727332482
"EAES301777",0.682764830263726,3.44847727332482
"EAES302321",-0.552012359241816,1.22046017451064
"EAES302312",-0.462123403237766,1.22046017451064
"EAES302276",-0.259575088632494,1.22046017451064
"EAES302294",-0.0912890279524808,1.22046017451064
"EAES301764",-0.0819797585395005,1.22046017451064
"EAES302308",0.0373509382698199,1.22046017451064
"EAES302284",0.146970507022456,1.22046017451064
"EAES302245",0.274745131989356,1.22046017451064
"EAES301926",0.542909815161109,1.22046017451064
"EAES302252",0.628307325486612,1.22046017451064
"EAES301776",0.988598394317306,1.22046017451064
"EAES302264",1.84032343667794,1.22046017451064
"EAES301964",-0.870509080756512,1.41915342410597
"EAES301925",-0.64967498226336,1.41915342410597
"EAES301763",-0.477812916398042,1.41915342410597
"EAES302311",-0.436427363210432,1.41915342410597
"EAES302283",-0.305462466139357,1.41915342410597
"EAES302263",-0.0932971607205644,1.41915342410597
"EAES301775",0.415024565772433,1.41915342410597
"EAES302275",0.631313583877855,1.41915342410597
"EAES302293",0.679555205680702,1.41915342410597
"EAES302320",0.787917027839302,1.41915342410597
"EAES302251",1.39023103263251,1.41915342410597
"EAES302244",2.15679036189607,1.41915342410597
"EAES301924",-0.781629632643645,1.30565263054516
"EAES302262",-0.387742218633147,1.30565263054516
"EAES302250",0.15578080711923,1.30565263054516
"EAES302243",0.302099698249519,1.30565263054516
"EAES301963",0.440251318691358,1.30565263054516
"EAES302319",0.496065776801623,1.30565263054516
"EAES301774",0.77404880976734,1.30565263054516
"EAES301762",0.793899459552221,1.30565263054516
"EAES302121",1.06467403890987,1.30565263054516
"EAES302274",1.08667408941438,1.30565263054516
"EAES302282",1.32032445627852,1.30565263054516
"EAES302292",1.79118109440032,1.30565263054516
"EAES301761",0.418145104369548,2.92143447467861
"EAES302318",0.579145194939125,2.92143447467861
"EAES301773",0.610858709371699,2.92143447467861
"EAES302281",0.67418644797867,2.92143447467861
"EAES302291",0.770032453150856,2.92143447467861
"EAES301785",0.802423395181157,2.92143447467861
"EAES301969",0.802463570480116,2.92143447467861
"EAES302273",0.802491621148879,2.92143447467861
"EAES301923",0.935133387175975,2.92143447467861
"EAES302249",1.07630044969454,2.92143447467861
"EAES301936",1.07631131722522,2.92143447467861
"EAES302261",1.56221362270129,2.92143447467861
"EAES302290",-0.408041919368184,1.21616799176011
"EAES302280",-0.344552090815026,1.21616799176011
"EAES302272",-0.302636166302702,1.21616799176011
"EAES301784",-0.281880662045008,1.21616799176011
"EAES301968",0.185255108617433,1.21616799176011
"EAES301922",0.185350837560418,1.21616799176011
"EAES302260",0.357193541034918,1.21616799176011
"EAES301760",0.647836434697741,1.21616799176011
"EAES301935",0.669206902657224,1.21616799176011
"EAES301772",0.75579320163839,1.21616799176011
"EAES302317",1.11473045039797,1.21616799176011
"EAES302248",1.1647906598028,1.21616799176011
"EAES302259",-0.295638578033184,1.32525112385875
"EAES301934",-0.214844095492319,1.32525112385875
"EAES302316",-0.170357714555656,1.32525112385875
"EAES301790",-0.0474010299851939,1.32525112385875
"EAES301759",0.00479752870056587,1.32525112385875
"EAES302289",0.0568097562351298,1.32525112385875
"EAES302279",0.108659963977962,1.32525112385875
"EAES301783",0.246660843024132,1.32525112385875
"EAES301921",0.481684789519432,1.32525112385875
"EAES301771",0.867120861305041,1.32525112385875
"EAES301967",1.0264700350359,1.32525112385875
"EAES302271",1.09952970016022,1.32525112385875
"EAES301758",-0.474854990800641,1.35639332184468
"EAES301782",-0.444212260481713,1.35639332184468
"EAES301789",-0.0827750077384439,1.35639332184468
"EAES301966",-0.0449623925067337,1.35639332184468
"EAES301929",0.0395758623263494,1.35639332184468
"EAES302270",0.188894079319548,1.35639332184468
"EAES301770",0.45137466425237,1.35639332184468
